IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,REGION
PHF,Newport News/Williamsburg International Airport,Newport News,VA,USA,37.1319,-76.49299,South
PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114,Northeast
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806,West
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,USA,40.66424,-89.69331,Midwest
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,USA,31.46715,-89.33706,South
PIH,Pocatello Regional Airport,Pocatello,ID,USA,42.91131,-112.59586,West
PIT,Pittsburgh International Airport,Pittsburgh,PA,USA,40.49147,-80.23287,Northeast
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,USA,45.57093,-84.79672,Midwest
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,USA,30.47331,-87.18744,South
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,USA,14.33102,-170.71053,Over Seas Territory
PSC,Tri-Cities Airport,Pasco,WA,USA,46.26468,-119.11903,West
PSE,Mercedita Airport,Ponce,PR,USA,18.0083,-66.56301,Over Seas Territory
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,USA,56.80165,-132.94528,West
PSP,Palm Springs International Airport,Palm Springs,CA,USA,33.82922,-116.50625,West
PUB,Pueblo Memorial Airport,Pueblo,CO,USA,38.28909,-104.49657,West
PVD,Theodore Francis Green State Airport,Providence,RI,USA,41.724,-71.42822,Northeast
PWM,Portland International Jetport,Portland,ME,USA,43.64617,-70.30875,Northeast
RAP,Rapid City Regional Airport,Rapid City,SD,USA,44.04532,-103.05737,Midwest
RDD,Redding Municipal Airport,Redding,CA,USA,40.50898,-122.2934,West
RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,USA,44.25407,-121.14996,West
RDU,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747,South
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,USA,45.63119,-89.46745,Midwest
RIC,Richmond International Airport,Richmond,VA,USA,37.50517,-77.31967,South
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,USA,41.59422,-109.06519,West
RNO,Reno/Tahoe International Airport,Reno,NV,USA,39.49858,-119.76806,West
ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,USA,37.32547,-79.97543,South
ROC,Greater Rochester International Airport,Rochester,NY,USA,43.11887,-77.67238,Northeast
ROW,Roswell International Air Center,Roswell,NM,USA,33.30156,-104.53056,West
RST,Rochester International Airport,Rochester,MN,USA,43.90883,-92.49799,Midwest
RSW,Southwest Florida International Airport,Ft. Myers,FL,USA,26.53617,-81.75517,South
SAF,Santa Fe Municipal Airport,Santa Fe,NM,USA,35.61678,-106.08814,West
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966,West
